,date,year,month,day,state,tests,cases,hospitalizations,deaths,month_name
163,2020-02-25,2020,2,25,WA,0,1,0,0,February
164,2020-02-26,2020,2,26,FL,0,0,0,0,February
165,2020-02-26,2020,2,26,MA,0,0,0,0,February
166,2020-02-26,2020,2,26,NE,0,0,0,0,February
167,2020-02-26,2020,2,26,NJ,0,0,0,0,February
168,2020-02-26,2020,2,26,VA,0,0,0,0,February
169,2020-02-26,2020,2,26,WA,0,2,0,2,February
170,2020-02-27,2020,2,27,FL,0,0,0,0,February
171,2020-02-27,2020,2,27,IN,0,0,0,0,February
172,2020-02-27,2020,2,27,MA,0,0,0,0,February
173,2020-02-27,2020,2,27,NE,0,0,0,0,February
174,2020-02-27,2020,2,27,NJ,0,0,0,0,February
175,2020-02-27,2020,2,27,VA,6445,0,0,0,February
176,2020-02-27,2020,2,27,WA,0,1,0,0,February
177,2020-02-28,2020,2,28,FL,0,0,0,0,February
178,2020-02-28,2020,2,28,IN,1,0,0,0,February
179,2020-02-28,2020,2,28,MA,2,0,0,0,February
180,2020-02-28,2020,2,28,NE,0,0,0,0,February
181,2020-02-28,2020,2,28,NJ,0,0,0,0,February
182,2020-02-28,2020,2,28,VA,0,0,0,0,February
183,2020-02-28,2020,2,28,WA,0,2,0,2,February
184,2020-02-29,2020,2,29,CT,0,0,0,0,February
185,2020-02-29,2020,2,29,FL,0,0,0,0,February
186,2020-02-29,2020,2,29,IN,2,0,0,0,February
187,2020-02-29,2020,2,29,MA,1,0,0,0,February
188,2020-02-29,2020,2,29,NE,15,0,0,0,February
189,2020-02-29,2020,2,29,NJ,0,0,0,0,February
190,2020-02-29,2020,2,29,VA,2,0,0,0,February
191,2020-02-29,2020,2,29,WA,42,3,0,1,February
192,2020-03-01,2020,3,1,CT,1,0,0,0,March
193,2020-03-01,2020,3,1,FL,0,0,0,0,March
194,2020-03-01,2020,3,1,IN,2,0,0,0,March
195,2020-03-01,2020,3,1,MA,4,0,0,0,March
196,2020-03-01,2020,3,1,MI,0,0,0,0,March
197,2020-03-01,2020,3,1,NE,11,0,0,0,March
198,2020-03-01,2020,3,1,NJ,0,0,0,0,March
199,2020-03-01,2020,3,1,RI,0,0,0,0,March
200,2020-03-01,2020,3,1,VA,2,0,0,0,March
201,2020-03-01,2020,3,1,WA,75,8,0,3,March
202,2020-03-01,2020,3,1,WY,0,0,0,0,March
203,2020-03-02,2020,3,2,CT,4,0,0,0,March
204,2020-03-02,2020,3,2,FL,0,0,0,0,March
205,2020-03-02,2020,3,2,IN,0,0,0,0,March
206,2020-03-02,2020,3,2,MA,6,0,0,0,March
207,2020-03-02,2020,3,2,MI,0,13,0,0,March
208,2020-03-02,2020,3,2,NE,0,0,0,0,March
209,2020-03-02,2020,3,2,NJ,0,0,0,0,March
210,2020-03-02,2020,3,2,NY,0,0,0,0,March
211,2020-03-02,2020,3,2,RI,4,0,0,0,March
212,2020-03-02,2020,3,2,VA,1,0,0,0,March
213,2020-03-02,2020,3,2,WA,188,17,0,3,March
214,2020-03-02,2020,3,2,WY,0,0,0,0,March
215,2020-03-03,2020,3,3,CT,4,0,0,0,March
216,2020-03-03,2020,3,3,FL,4,2,0,0,March
217,2020-03-03,2020,3,3,IN,2,0,0,0,March
218,2020-03-03,2020,3,3,MA,15,0,0,0,March
219,2020-03-03,2020,3,3,MI,0,23,0,0,March
220,2020-03-03,2020,3,3,NE,12,0,0,0,March
